Archivo,Elemento,Ecut,KPoints,Pseudopotencial
Si_ecut30_k111_Si.bhs.in,Si,30,1 1 1,Si.bhs
Si_ecut30_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k111_Si.rel-pbe-rrkj.in,Si,30,1 1 1,Si.rel-pbe-rrkj
Si_ecut30_k222_Si.bhs.in,Si,30,2 2 2,Si.bhs
Si_ecut30_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k222_Si.rel-pbe-rrkj.in,Si,30,2 2 2,Si.rel-pbe-rrkj
Si_ecut30_k333_Si.bhs.in,Si,30,3 3 3,Si.bhs
Si_ecut30_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k333_Si.rel-pbe-rrkj.in,Si,30,3 3 3,Si.rel-pbe-rrkj
Si_ecut30_k444_Si.bhs.in,Si,30,4 4 4,Si.bhs
Si_ecut30_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k444_Si.rel-pbe-rrkj.in,Si,30,4 4 4,Si.rel-pbe-rrkj
Si_ecut30_k555_Si.bhs.in,Si,30,5 5 5,Si.bhs
Si_ecut30_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k555_Si.rel-pbe-rrkj.in,Si,30,5 5 5,Si.rel-pbe-rrkj
Si_ecut30_k666_Si.bhs.in,Si,30,6 6 6,Si.bhs
Si_ecut30_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k666_Si.rel-pbe-rrkj.in,Si,30,6 6 6,Si.rel-pbe-rrkj
Si_ecut30_k777_Si.bhs.in,Si,30,7 7 7,Si.bhs
Si_ecut30_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k777_Si.rel-pbe-rrkj.in,Si,30,7 7 7,Si.rel-pbe-rrkj
Si_ecut30_k888_Si.bhs.in,Si,30,8 8 8,Si.bhs
Si_ecut30_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k888_Si.rel-pbe-rrkj.in,Si,30,8 8 8,Si.rel-pbe-rrkj
Si_ecut30_k999_Si.bhs.in,Si,30,9 9 9,Si.bhs
Si_ecut30_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k999_Si.rel-pbe-rrkj.in,Si,30,9 9 9,Si.rel-pbe-rrkj
Si_ecut30_k101010_Si.bhs.in,Si,30,10 10 10,Si.bhs
Si_ecut30_k101010_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,10 10 10,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k101010_Si.rel-pbe-rrkj.in,Si,30,10 10 10,Si.rel-pbe-rrkj
Si_ecut30_k111111_Si.bhs.in,Si,30,11 11 11,Si.bhs
Si_ecut30_k111111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,11 11 11,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k111111_Si.rel-pbe-rrkj.in,Si,30,11 11 11,Si.rel-pbe-rrkj
Si_ecut30_k121212_Si.bhs.in,Si,30,12 12 12,Si.bhs
Si_ecut30_k121212_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,30,12 12 12,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut30_k121212_Si.rel-pbe-rrkj.in,Si,30,12 12 12,Si.rel-pbe-rrkj
Si_ecut35_k111_Si.bhs.in,Si,35,1 1 1,Si.bhs
Si_ecut35_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k111_Si.rel-pbe-rrkj.in,Si,35,1 1 1,Si.rel-pbe-rrkj
Si_ecut35_k222_Si.bhs.in,Si,35,2 2 2,Si.bhs
Si_ecut35_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k222_Si.rel-pbe-rrkj.in,Si,35,2 2 2,Si.rel-pbe-rrkj
Si_ecut35_k333_Si.bhs.in,Si,35,3 3 3,Si.bhs
Si_ecut35_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k333_Si.rel-pbe-rrkj.in,Si,35,3 3 3,Si.rel-pbe-rrkj
Si_ecut35_k444_Si.bhs.in,Si,35,4 4 4,Si.bhs
Si_ecut35_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k444_Si.rel-pbe-rrkj.in,Si,35,4 4 4,Si.rel-pbe-rrkj
Si_ecut35_k555_Si.bhs.in,Si,35,5 5 5,Si.bhs
Si_ecut35_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k555_Si.rel-pbe-rrkj.in,Si,35,5 5 5,Si.rel-pbe-rrkj
Si_ecut35_k666_Si.bhs.in,Si,35,6 6 6,Si.bhs
Si_ecut35_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k666_Si.rel-pbe-rrkj.in,Si,35,6 6 6,Si.rel-pbe-rrkj
Si_ecut35_k777_Si.bhs.in,Si,35,7 7 7,Si.bhs
Si_ecut35_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k777_Si.rel-pbe-rrkj.in,Si,35,7 7 7,Si.rel-pbe-rrkj
Si_ecut35_k888_Si.bhs.in,Si,35,8 8 8,Si.bhs
Si_ecut35_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k888_Si.rel-pbe-rrkj.in,Si,35,8 8 8,Si.rel-pbe-rrkj
Si_ecut35_k999_Si.bhs.in,Si,35,9 9 9,Si.bhs
Si_ecut35_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,35,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut35_k999_Si.rel-pbe-rrkj.in,Si,35,9 9 9,Si.rel-pbe-rrkj
Si_ecut35_k101010_Si.bhs.in,Si,35,10 10 10,Si.bhs
